Source Target
63 182
63 196
63 476
64 196
1463 1526
3796 3864
2799 3181
63 174
63 244
63 440
64 440
196 440
3197 3268
63 233
63 1297
64 1297
929 1297
929 1521
1463 1521
1463 1731
63 110
63 306
63 2252
1463 2252
63 71
63 102
3197 3322
63 1463
929 1463
63 192
63 2838
1463 2838
1463 2852
2799 2852
63 139
929 1203
1463 1693
3197 3401
866 3796
1463 1654
1463 3796
63 145
929 3197
1463 1657
1463 3197
2799 3197
3796 3925
63 64
63 162
63 95
459 986
1526 1731
2794 2852
1526 1654
3661 3796
1526 1657
2792 3197
2794 3197
3127 3197
3925 3939
3523 3864
1521 2252
3987 4003
1521 3796
3523 3572
3523 3796
453 467
1521 3197
919 1372
919 1414
919 1526
986 1372
986 1414
986 1526
1186 1526
3715 3766
386 440
919 986
986 1731
1050 1297
1050 1521
2251 2431
2252 2431
986 2252
2050 2252
2251 2252
2252 2255
49 63
919 1463
986 1071
986 1463
1050 1463
1186 1463
3715 3801
49 192
919 1186
986 1046
986 1186
2252 2838
919 1203
986 1203
986 1693
1050 1203
1186 1203
3715 3751
986 1654
986 3796
3715 3796
3716 3796
3717 3796
386 467
986 1111
986 1657
1050 1111
1050 3197
1186 3197
2252 2483
2252 3197
2852 3197
919 1016
919 1240
986 1016
1186 1240
2050 2251
1111 1526
1111 1521
1111 2252
1046 1463
1111 1463
1111 1203
3445 3572
3445 3796
1111 3197
3181 3197
3445 3603
3445 3939
440 476
440 1414
440 1526
710 882
1240 1526
440 622
440 986
710 874
440 919
440 628
440 2252
710 852
710 866
710 757
440 3742
440 581
440 1463
1240 1463
440 1203
440 4003
1240 1693
440 1654
440 3572
440 3796
710 3572
710 3796
440 453
440 467
440 1657
440 3925
710 3197
1240 3197
440 459
710 767
1372 1414
1372 1526
3572 3766
3572 3864
3572 3716
904 1297
1372 1731
3572 3602
3572 3742
904 1463
1105 1463
1372 1463
3572 3661
3572 3675
3572 3717
3572 3801
3572 3751
3572 3796
2838 3197
3572 3603
3572 3715
3572 3925
3572 3939
102 162
3572 3606
3572 3746
1297 1526
1297 1521
2100 2431
1297 2252
2100 2252
2167 2252
33 63
1297 1463
1297 2838
2834 2852
1297 3796
3766 3796
1297 3197
2834 3197
2100 2251
2167 2251
162 174
1027 1463
162 192
1027 1105
3560 3572
3560 3796
95 162
622 1414
622 1526
622 986
2021 2050
622 919
2021 2252
2021 2255
3489 3602
622 1463
3489 3572
2021 2483
2824 3197
2021 2251
1016 1050
3751 3766
1016 1297
1016 1521
1016 1463
1016 1186
1016 1203
1016 1111
1016 1657
1016 1240
1414 1526
1414 1463
1414 1657
3675 3766
3675 3716
3675 3751
3675 3796
3742 3796
3675 3715
71 182
139 196
1071 1372
1071 1526
1203 1526
3602 3766
2805 2834
1071 1521
1203 1297
1203 1521
1203 2252
2204 2252
4003 4016
2805 3322
3602 3742
3603 3742
1071 1463
1203 1463
3603 3661
2805 2852
1203 3796
3602 3796
3603 3796
1203 3197
2805 3197
3602 3603
3602 3939
3603 3715
3606 3939
71 162
1203 1240
2204 2251
4001 4003
