Source Target
1666 3016
3663 3792
3663 3762
3663 3964
1400 1439
59 140
59 196
994 1400
994 1081
994 1042
2794 3016
59 175
59 2208
59 159
994 1439
588 994
722 863
722 789
722 806
789 806
2784 3016
2784 3032
380 1042
3980 3982
3581 3762
380 425
1042 1400
1439 1666
1042 1081
1439 3016
1439 1499
1439 2208
1439 3762
1042 1234
1439 2900
1439 1629
909 1439
1042 1439
970 1042
970 3762
3638 3762
970 1439
1234 1400
1965 2016
1965 2450
3032 3248
2699 3016
2900 3016
1965 2403
1965 2208
2900 3032
1234 1439
1434 1439
425 588
425 994
425 1400
425 1042
2696 3016
3762 3792
3762 3918
425 576
2696 2900
3762 3964
425 1439
2021 2208
3016 3248
1283 2208
2016 2208
3549 3762
3016 3138
3016 3032
1283 1439
1081 1400
2746 3016
1081 1234
1081 1629
2746 2794
1081 1439
2208 2450
2208 2403
2208 2515
3541 3762
2938 3016
2938 3032
3668 3792
3668 3762
